Date,Open
09/02/2018,43140
10/02/2018,43141
11/02/2018,43142
12/02/2018,43143
13/02/2018,43144
14/02/2018,43145
15/02/2018,43146
16/02/2018,43147
17/02/2018,43148
18/02/2018,43149
19/02/2018,43150
20/02/2018,43151
21/02/2018,43152
22/02/2018,43153
23/02/2018,43154
24/02/2018,43155
25/02/2018,43156
26/02/2018,43157
27/02/2018,43158
28/02/2018,43159
01/03/2018,43160
02/03/2018,43161
03/03/2018,43162
04/03/2018,43163
05/03/2018,43164
06/03/2018,43165
07/03/2018,43166
08/03/2018,43167
09/03/2018,43168
10/03/2018,43169
11/03/2018,43170
12/03/2018,43171
13/03/2018,43172
14/03/2018,43173
15/03/2018,43174
16/03/2018,43175
17/03/2018,43176
18/03/2018,43177
19/03/2018,43178
20/03/2018,43179
21/03/2018,43180
22/03/2018,43181
23/03/2018,43182
24/03/2018,43183
25/03/2018,43184
26/03/2018,43185
27/03/2018,43186
28/03/2018,43187
29/03/2018,43188
30/03/2018,43189
31/03/2018,43190
01/04/2018,43191
02/04/2018,43192
03/04/2018,43193
04/04/2018,43194
05/04/2018,43195
06/04/2018,43196
07/04/2018,43197
08/04/2018,43198
09/04/2018,43199
10/04/2018,43200
11/04/2018,43201
12/04/2018,43202
13/04/2018,43203
14/04/2018,43204
15/04/2018,43205
16/04/2018,43206
17/04/2018,43207
18/04/2018,43208
19/04/2018,43209
20/04/2018,43210
21/04/2018,43211
22/04/2018,43212
23/04/2018,43213
24/04/2018,43214
25/04/2018,43215
26/04/2018,43216
27/04/2018,43217
28/04/2018,43218
29/04/2018,43219
30/04/2018,43220
01/05/2018,43221
02/05/2018,43222
03/05/2018,43223
04/05/2018,43224
05/05/2018,43225
06/05/2018,43226
07/05/2018,43227
08/05/2018,43228
09/05/2018,43229
10/05/2018,43230
11/05/2018,43231
12/05/2018,43232
13/05/2018,43233
14/05/2018,43234
15/05/2018,43235
16/05/2018,43236
17/05/2018,43237
18/05/2018,43238
19/05/2018,43239
20/05/2018,43240
21/05/2018,43241
22/05/2018,43242
23/05/2018,43243
24/05/2018,43244
25/05/2018,43245
26/05/2018,43246
27/05/2018,43247
28/05/2018,43248
29/05/2018,43249
30/05/2018,43250
31/05/2018,43251
01/06/2018,43252
02/06/2018,43253
03/06/2018,43254
04/06/2018,43255
05/06/2018,43256
06/06/2018,43257
07/06/2018,43258
08/06/2018,43259
09/06/2018,43260
10/06/2018,43261
11/06/2018,43262
12/06/2018,43263
13/06/2018,43264
14/06/2018,43265
15/06/2018,43266
16/06/2018,43267
17/06/2018,43268
18/06/2018,43269
19/06/2018,43270
20/06/2018,43271
21/06/2018,43272
22/06/2018,43273
23/06/2018,43274
24/06/2018,43275
25/06/2018,43276
26/06/2018,43277
27/06/2018,43278
28/06/2018,43279
29/06/2018,43280
30/06/2018,43281
01/07/2018,43282
02/07/2018,43283
03/07/2018,43284
04/07/2018,43285
05/07/2018,43286
06/07/2018,43287
07/07/2018,43288
08/07/2018,43289
09/07/2018,43290
10/07/2018,43291
11/07/2018,43292
12/07/2018,43293
13/07/2018,43294
14/07/2018,43295
15/07/2018,43296
16/07/2018,43297
17/07/2018,43298
18/07/2018,43299
19/07/2018,43300
20/07/2018,43301
21/07/2018,43302
22/07/2018,43303
23/07/2018,43304
24/07/2018,43305
25/07/2018,43306
26/07/2018,43307
27/07/2018,43308
