Date,Open,High,Low,Close
2015-09-11,238,241,238,240
2015-09-12,240,240,235,235
2015-09-13,235,236,229,231
2015-09-14,231,232,228,231
2015-09-15,230,259,230,230
2015-09-16,230,231,227,229
2015-09-17,229,230,229,230
2015-09-18,234,234,232,233
2015-09-19,233,233,231,231
2015-09-20,231,232,231,231
2015-09-21,231,231,227,227
2015-09-22,227,232,225,231
2015-09-23,231,232,230,230
2015-09-24,230,236,230,235
2015-09-25,234,237,234,235
2015-09-26,235,235,233,234
2015-09-27,234,235,232,233
2015-09-28,233,239,232,239
2015-09-29,239,240,236,237
2015-09-30,237,238,236,236
2015-10-01,236,238,236,238
2015-10-02,237,239,237,237
2015-10-03,237,239,237,239
2015-10-04,239,239,238,238
2015-10-05,238,240,237,240
2015-10-06,240,247,240,246
2015-10-07,246,247,243,243
2015-10-08,243,244,242,242
2015-10-09,242,244,242,244
2015-10-10,244,245,243,245
2015-10-11,245,247,244,247
2015-10-12,247,247,245,245
2015-10-13,245,250,244,250
2015-10-14,249,254,249,252
2015-10-15,252,256,252,254
2015-10-16,254,266,254,263
2015-10-17,263,274,262,271
2015-10-18,271,272,261,262
2015-10-19,262,265,261,263
2015-10-20,264,271,263,269
2015-10-21,269,271,264,266
2015-10-22,266,277,266,274
2015-10-23,274,279,274,276
2015-10-24,277,282,277,282
2015-10-25,281,294,281,284
2015-10-26,284,285,281,285
2015-10-27,285,296,285,294
2015-10-28,294,306,294,305
2015-10-29,304,318,302,314
2015-10-30,314,334,314,328
2015-10-31,329,333,309,314
2015-11-01,315,327,312,325
2015-11-02,326,365,323,361
2015-11-03,362,418,358,403
2015-11-04,404,496,381,412
2015-11-05,408,448,375,386
2015-11-06,388,396,354,374
2015-11-07,374,391,372,386
2015-11-08,384,390,369,373
2015-11-09,374,385,363,380
2015-11-10,380,381,329,337
2015-11-11,340,341,301,311
2015-11-12,314,345,313,338
2015-11-13,338,341,326,337
2015-11-14,337,338,330,333
2015-11-15,333,335,317,320
2015-11-16,320,332,316,331
2015-11-17,330,338,330,335
2015-11-18,335,337,331,335
2015-11-19,335,335,325,326
2015-11-20,326,326,312,322
2015-11-21,322,328,320,327
2015-11-22,327,327,321,325
2015-11-23,324,325,321,323
2015-11-24,323,323,318,320
2015-11-25,320,329,317,328
2015-11-26,328,367,328,353
2015-11-27,352,364,348,358
2015-11-28,357,360,352,357
2015-11-29,357,372,356,371
2015-11-30,371,382,370,377
2015-12-01,377,379,357,362
2015-12-02,362,362,349,359
2015-12-03,359,370,357,361
2015-12-04,361,364,356,363
2015-12-05,364,390,363,389
2015-12-06,390,403,387,389
2015-12-07,390,400,385,396
2015-12-08,396,416,390,416
2015-12-09,414,423,406,418
2015-12-10,418,420,412,415
2015-12-11,415,452,415,452
2015-12-12,452,469,411,435
2015-12-13,432,442,426,434
2015-12-14,433,447,430,444
2015-12-15,444,465,444,465
2015-12-16,465,465,444,455
2015-12-17,455,458,449,456
2015-12-18,456,465,455,464
2015-12-19,464,466,457,462
2015-12-20,462,463,434,443
2015-12-21,443,445,427,439
2015-12-22,437,444,436,437
2015-12-23,437,445,437,442
2015-12-24,443,458,443,455
2015-12-25,455,458,452,456
2015-12-26,456,457,406,417
2015-12-27,417,424,409,423
2015-12-28,423,430,418,422
2015-12-29,422,433,421,433
2015-12-30,433,434,422,427
2015-12-31,426,433,419,431
2016-01-01,431,436,428,434
2016-01-02,435,436,432,433
2016-01-03,434,434,425,430
2016-01-04,430,435,429,433
2016-01-05,433,434,430,432
2016-01-06,432,432,426,429
2016-01-07,430,459,429,458
2016-01-08,458,463,448,453
2016-01-09,453,455,447,448
2016-01-10,448,448,440,448
2016-01-11,449,451,444,448
2016-01-12,448,448,436,436
2016-01-13,435,435,424,432
2016-01-14,432,433,428,430
2016-01-15,430,430,364,364
2016-01-16,365,391,355,388
2016-01-17,387,391,380,382
2016-01-18,382,388,377,387
2016-01-19,387,388,379,380
2016-01-20,380,425,377,420
2016-01-21,420,423,406,410
2016-01-22,410,410,375,382
2016-01-23,382,395,382,387
2016-01-24,388,405,388,403
2016-01-25,402,402,389,392
2016-01-26,392,398,391,392
2016-01-27,392,397,392,395
2016-01-28,395,396,380,380
2016-01-29,380,384,365,379
2016-01-30,379,381,376,378
2016-01-31,378,380,368,369
2016-02-01,369,378,368,373
2016-02-02,373,376,373,374
2016-02-03,375,375,368,370
2016-02-04,370,392,370,390
2016-02-05,389,391,386,387
2016-02-06,387,387,372,377
2016-02-07,377,381,375,377
2016-02-08,377,380,373,373
2016-02-09,373,377,373,376
2016-02-10,376,385,376,382
2016-02-11,382,383,376,380
2016-02-12,380,385,380,384
2016-02-13,385,392,385,392
2016-02-14,393,407,393,407
2016-02-15,408,410,398,400
2016-02-16,401,409,401,407
2016-02-17,408,421,407,416
2016-02-18,417,426,416,422
2016-02-19,423,423,418,421
2016-02-20,422,442,422,437
2016-02-21,438,448,429,439
2016-02-22,439,439,433,438
2016-02-23,438,440,418,421
2016-02-24,421,426,414,425
2016-02-25,425,428,420,425
2016-02-26,425,432,422,432
2016-02-27,433,434,428,433
2016-02-28,433,436,424,434
2016-02-29,433,442,432,438
2016-03-01,438,440,432,435
2016-03-02,435,436,424,424
2016-03-03,424,425,419,422
2016-03-04,422,425,411,411
2016-03-05,411,411,394,401
2016-03-06,401,412,396,408
2016-03-07,408,416,406,414
2016-03-08,414,416,411,414
2016-03-09,414,416,412,415
2016-03-10,415,418,413,417
2016-03-11,417,424,417,422
2016-03-12,422,422,410,412
