Date,Open,High,Low,Close,Volume
17/09/2014,465.86401,468.17401,452.42200,457.33402,21056800
18/09/2014,456.85999,456.85999,413.10400,424.44000,34483200
19/09/2014,424.10300,427.83499,384.53201,394.79599,37919700
20/09/2014,394.67300,423.29599,389.88300,408.90399,36863600
21/09/2014,408.08499,412.42600,393.18100,398.82101,26580100
22/09/2014,399.10001,406.91599,397.13001,402.15201,24127600
23/09/2014,402.09201,441.55701,396.19699,435.79099,45099500
24/09/2014,435.75101,436.11200,421.13199,423.20499,30627700
25/09/2014,423.15601,423.51999,409.46799,411.57401,26814400
26/09/2014,411.42899,414.93799,400.00900,404.42499,21460800
27/09/2014,403.55600,406.62299,397.37201,399.51999,15029300
28/09/2014,399.47101,401.01700,374.33200,377.18100,23613300
29/09/2014,376.92801,385.21100,372.23999,375.46701,32497700
30/09/2014,376.08801,390.97699,373.44299,386.94400,34707300
01/10/2014,387.42700,391.37900,380.78000,383.61499,26229400
02/10/2014,383.98801,385.49701,372.94601,375.07199,21777700
03/10/2014,375.18100,377.69501,357.85901,359.51199,30901200
04/10/2014,359.89200,364.48700,325.88599,328.86600,47236500
05/10/2014,328.91599,341.80100,289.29599,320.51001,83308096
06/10/2014,320.38901,345.13400,302.56000,330.07901,79011800
07/10/2014,330.58402,339.24701,320.48200,336.18701,49199900
08/10/2014,336.11600,354.36401,327.18799,352.94000,54736300
09/10/2014,352.74799,382.72601,347.68701,365.02600,83641104
10/10/2014,364.68701,375.06699,352.96301,361.56201,43665700
11/10/2014,361.36200,367.19101,355.95099,362.29901,13345200
12/10/2014,362.60599,379.43301,356.14401,378.54901,17552800
13/10/2014,377.92099,397.22601,368.89700,390.41400,35221400
14/10/2014,391.69199,411.69800,391.32401,400.87000,38491500
15/10/2014,400.95499,402.22699,388.76599,394.77301,25267100
16/10/2014,394.51801,398.80701,373.07001,382.55600,26990000
17/10/2014,382.75601,385.47800,375.38901,383.75800,13600700
18/10/2014,383.97601,395.15799,378.97101,391.44199,11416800
19/10/2014,391.25400,393.93900,386.45700,389.54599,5914570
20/10/2014,389.23099,390.08402,378.25201,382.84500,16419000
21/10/2014,382.42099,392.64600,380.83402,386.47501,14188900
22/10/2014,386.11801,388.57599,382.24899,383.15799,11641300
23/10/2014,382.96201,385.04800,356.44699,358.41699,26456900
24/10/2014,358.59100,364.34500,353.30499,358.34500,15585700
25/10/2014,358.61099,359.86099,342.87701,347.27100,18127500
26/10/2014,347.48700,359.22101,343.93100,354.70401,11272500
27/10/2014,354.77701,358.63199,349.80899,352.98901,13033000
28/10/2014,353.21500,359.98401,352.67899,357.61801,7845880
29/10/2014,357.08899,357.83301,335.34299,335.59100,18192700
30/10/2014,335.70902,350.91299,335.07199,345.30499,30177900
31/10/2014,345.00900,348.04501,337.14200,338.32101,12545400
01/11/2014,338.64999,340.52899,321.05499,325.74899,16677200
02/11/2014,326.07501,329.04999,320.62601,325.89200,8603620
03/11/2014,325.56900,334.00201,325.48099,327.55399,12948500
04/11/2014,327.16101,331.76700,325.07700,330.49200,15655500
05/11/2014,330.68301,343.36899,330.68301,339.48599,19817200
06/11/2014,339.45801,352.96600,338.42401,349.29001,18797000
07/11/2014,349.81799,352.73200,341.77600,342.41501,16834200
08/11/2014,342.15399,347.03201,342.15399,345.48801,8535470
09/11/2014,345.37601,363.62601,344.25501,363.26401,24205600
10/11/2014,362.26502,374.81601,357.56101,366.92401,30450100
11/11/2014,365.85700,371.31000,363.73499,367.69501,15838900
12/11/2014,367.98499,429.71799,367.98499,423.56101,45783200
13/11/2014,427.27301,457.09299,401.12299,420.73499,58945000
14/11/2014,418.41699,419.25201,384.78900,397.81799,29589200
15/11/2014,399.64999,405.52802,371.00800,376.13300,15727500
16/11/2014,374.73001,390.79901,374.60199,387.88199,11905600
17/11/2014,388.34900,410.19901,377.50201,387.40799,41518800
18/11/2014,387.78500,392.40201,371.11700,375.19800,32222500
19/11/2014,373.89600,386.48099,373.89600,380.55499,18931800
20/11/2014,380.30701,382.02499,356.78101,357.84000,25233200
21/11/2014,357.87900,357.87900,344.11200,350.84799,29850100
22/11/2014,351.60400,364.84100,350.87799,352.92001,15273000
23/11/2014,353.17499,370.84500,353.17499,367.57300,15151600
24/11/2014,366.94800,387.20902,366.66901,376.90100,30930100
25/11/2014,376.88599,394.70099,374.78400,375.34799,25442200
26/11/2014,376.01901,377.69800,365.81601,368.37000,18601700
27/11/2014,370.50201,373.99200,368.28201,369.67001,8748030
28/11/2014,369.37399,382.83801,358.45499,376.44699,22946500
29/11/2014,376.15201,387.60101,372.14499,375.49100,15375600
30/11/2014,375.51001,382.52701,373.30899,378.04700,9194440
01/12/2014,378.24899,383.66199,376.66901,379.24500,11763000
02/12/2014,379.25000,384.03799,377.86301,381.31500,12364100
03/12/2014,381.72199,383.02600,374.34601,375.01001,13340100
04/12/2014,375.71799,378.65500,367.75900,369.60400,14529600
05/12/2014,369.44199,379.19199,365.75601,376.85400,15181800
06/12/2014,376.75699,378.44800,370.94501,374.78500,7009320
07/12/2014,374.83600,376.29199,373.27499,375.09500,6491650
08/12/2014,374.96500,376.02899,361.88599,361.90900,18898700
09/12/2014,361.89499,363.06699,344.95099,352.21899,32915500
10/12/2014,352.20499,352.38400,346.36499,346.36499,16427700
11/12/2014,344.34000,361.35700,338.76300,350.50601,32431300
12/12/2014,350.83301,352.98300,349.29099,352.54199,16989800
13/12/2014,352.38101,352.38101,346.58801,347.37601,11675900
14/12/2014,346.72699,353.31601,345.41800,351.63199,12415200
15/12/2014,351.36099,351.81500,344.93399,345.34500,17264200
16/12/2014,345.67300,345.85901,327.06201,327.06201,30864900
17/12/2014,326.85501,333.95401,315.15201,319.77600,37567900
18/12/2014,319.78500,323.70902,304.23200,311.39600,39173000
19/12/2014,311.17899,318.53299,306.76901,317.84299,23823100
20/12/2014,317.61899,330.32501,316.04401,329.95599,20856700
21/12/2014,329.54300,329.62900,318.90302,320.84299,15207600
22/12/2014,321.06799,334.11700,320.42499,331.88599,22315100
23/12/2014,332.01700,336.28699,329.60199,334.57199,16574200
24/12/2014,334.38501,334.74100,321.35700,322.53400,15092300
25/12/2014,322.28601,322.67001,316.95801,319.00800,9883640
26/12/2014,319.15201,331.42401,316.62701,327.92401,16410500
27/12/2014,327.58301,328.91101,312.63001,315.86301,15185200
28/12/2014,316.16000,320.02802,311.07800,317.23901,11676600
29/12/2014,317.70099,320.26700,312.30701,312.67001,12302500
30/12/2014,312.71899,314.80899,309.37299,310.73700,12528300
31/12/2014,310.91400,320.19299,310.21100,320.19299,13942900
01/01/2015,320.43500,320.43500,314.00299,314.24899,8036550
02/01/2015,314.07901,315.83899,313.56500,315.03201,7860650
03/01/2015,314.84601,315.14999,281.08200,281.08200,33054400
04/01/2015,281.14600,287.23001,257.61200,264.19501,55629100
05/01/2015,265.08402,278.34100,265.08402,274.47400,43962800
06/01/2015,274.61099,287.55301,272.69601,286.18900,23245700
07/01/2015,286.07700,298.75400,283.07901,294.33701,24866800
08/01/2015,294.13501,294.13501,282.17499,283.34900,19982500
09/01/2015,282.38300,291.11401,280.53299,290.40799,18718600
10/01/2015,287.30301,288.12701,273.96600,274.79599,15264300
11/01/2015,274.60800,279.63800,265.03900,265.66000,18200800
12/01/2015,266.14600,272.20300,265.20001,267.79599,18880300
13/01/2015,267.39401,268.27701,219.90601,225.86099,72843904
14/01/2015,223.89400,223.89400,171.51000,178.10300,97638704
