Date,Open,High,Low,Close,Volume
09/11/2017,0.02516,0.03506,0.02501,0.03205,18716200
10/11/2017,0.03222,0.03335,0.02645,0.02712,6766780
11/11/2017,0.02689,0.02966,0.02568,0.02744,5532220
12/11/2017,0.02748,0.02795,0.02259,0.02398,7280250
13/11/2017,0.02436,0.02630,0.02350,0.02581,4419440
14/11/2017,0.02580,0.02679,0.02534,0.02623,3033290
15/11/2017,0.02612,0.02777,0.02526,0.02645,6858800
16/11/2017,0.02658,0.02817,0.02565,0.02758,4888130
17/11/2017,0.02714,0.02744,0.02518,0.02577,3578870
18/11/2017,0.02560,0.02712,0.02475,0.02637,2930550
19/11/2017,0.02624,0.02848,0.02558,0.02808,4725050
20/11/2017,0.02815,0.03230,0.02761,0.02958,16172400
21/11/2017,0.02959,0.02971,0.02740,0.02833,5836790
22/11/2017,0.02840,0.02903,0.02789,0.02855,4938480
23/11/2017,0.02854,0.02868,0.02744,0.02744,5132300
24/11/2017,0.02741,0.02860,0.02696,0.02838,5502350
25/11/2017,0.02832,0.03045,0.02775,0.03045,6156460
26/11/2017,0.03044,0.03986,0.03012,0.03633,30527100
27/11/2017,0.03662,0.05713,0.03662,0.05059,77777296
28/11/2017,0.05063,0.13173,0.04795,0.11974,240338000
29/11/2017,0.11824,0.14691,0.08144,0.08972,210624992
30/11/2017,0.09493,0.12830,0.09493,0.11988,124345000
01/12/2017,0.11662,0.13135,0.11303,0.13135,73657600
02/12/2017,0.13163,0.13887,0.12913,0.13235,56712600
03/12/2017,0.13235,0.13922,0.12495,0.13181,46458900
04/12/2017,0.13155,0.14595,0.12635,0.13587,76392704
05/12/2017,0.13563,0.13640,0.12678,0.12749,50381100
06/12/2017,0.12675,0.13286,0.11389,0.11784,75688800
07/12/2017,0.11777,0.12418,0.10550,0.10550,71024600
08/12/2017,0.10614,0.12073,0.09914,0.11547,70092400
09/12/2017,0.11475,0.13866,0.11356,0.11961,63308600
10/12/2017,0.11979,0.11979,0.10013,0.11028,46376600
11/12/2017,0.10893,0.12138,0.10864,0.12138,39513900
12/12/2017,0.12118,0.13801,0.11422,0.13389,60056800
13/12/2017,0.13374,0.14185,0.12237,0.13428,61575000
14/12/2017,0.13367,0.24075,0.13184,0.24075,309307008
15/12/2017,0.23321,0.23321,0.18703,0.21347,207311008
16/12/2017,0.21288,0.44719,0.20423,0.40467,581052032
17/12/2017,0.38678,0.59242,0.37801,0.51301,628142976
18/12/2017,0.51194,0.52650,0.46740,0.51820,253463008
19/12/2017,0.52027,0.58959,0.50108,0.53127,279631008
20/12/2017,0.53371,0.53371,0.44162,0.48615,182924000
21/12/2017,0.49005,0.52362,0.45653,0.47785,162926000
22/12/2017,0.47897,0.47897,0.29364,0.40715,150972992
23/12/2017,0.41442,0.45037,0.39257,0.41403,88865000
24/12/2017,0.41666,0.41666,0.34704,0.39003,67372304
25/12/2017,0.39233,0.43970,0.36281,0.41636,122194000
26/12/2017,0.41357,0.43009,0.40561,0.42847,94896000
27/12/2017,0.42711,0.43083,0.40110,0.41418,82067504
28/12/2017,0.41202,0.41893,0.36789,0.40770,82263800
29/12/2017,0.41046,0.55688,0.40395,0.52930,266403008
30/12/2017,0.52832,0.77739,0.47156,0.63924,645155968
31/12/2017,0.64258,0.75445,0.64230,0.71970,305947008
01/01/2018,0.71885,0.73005,0.67194,0.72866,150186000
02/01/2018,0.72468,0.79465,0.69786,0.78259,289712000
