Date,Open,High,Low,Close,Volume
09/11/2017,0.00121,0.00142,0.00118,0.00142,6259550
10/11/2017,0.00142,0.00143,0.00113,0.00116,4246520
11/11/2017,0.00115,0.00126,0.00114,0.00120,2231080
12/11/2017,0.00119,0.00121,0.00100,0.00104,3288960
13/11/2017,0.00105,0.00121,0.00102,0.00121,2481270
14/11/2017,0.00120,0.00124,0.00113,0.00118,2660340
15/11/2017,0.00119,0.00135,0.00118,0.00134,2840180
16/11/2017,0.00135,0.00142,0.00129,0.00139,3423010
17/11/2017,0.00138,0.00139,0.00127,0.00131,2787480
18/11/2017,0.00131,0.00139,0.00125,0.00137,1648260
19/11/2017,0.00136,0.00142,0.00134,0.00138,1431720
20/11/2017,0.00137,0.00143,0.00135,0.00139,2141360
21/11/2017,0.00141,0.00145,0.00130,0.00139,3047660
22/11/2017,0.00140,0.00205,0.00137,0.00182,18841700
23/11/2017,0.00182,0.00225,0.00182,0.00189,26126500
24/11/2017,0.00194,0.00198,0.00179,0.00191,9585960
25/11/2017,0.00192,0.00207,0.00188,0.00207,5430930
26/11/2017,0.00207,0.00213,0.00188,0.00203,7670430
27/11/2017,0.00200,0.00204,0.00189,0.00199,6185790
28/11/2017,0.00199,0.00236,0.00195,0.00236,8317540
29/11/2017,0.00233,0.00258,0.00199,0.00208,11077200
30/11/2017,0.00205,0.00227,0.00189,0.00208,4919490
01/12/2017,0.00205,0.00224,0.00197,0.00215,5258110
02/12/2017,0.00212,0.00221,0.00202,0.00215,4978180
03/12/2017,0.00209,0.00234,0.00207,0.00222,4751640
04/12/2017,0.00221,0.00248,0.00218,0.00246,6307150
05/12/2017,0.00247,0.00268,0.00243,0.00248,8772420
06/12/2017,0.00250,0.00266,0.00244,0.00266,9047960
07/12/2017,0.00258,0.00286,0.00252,0.00272,15759300
08/12/2017,0.00273,0.00285,0.00233,0.00278,11797600
09/12/2017,0.00277,0.00285,0.00243,0.00262,6564530
10/12/2017,0.00261,0.00274,0.00231,0.00255,5614920
11/12/2017,0.00256,0.00289,0.00253,0.00280,7017140
12/12/2017,0.00279,0.00338,0.00267,0.00330,19228600
13/12/2017,0.00331,0.00388,0.00322,0.00346,31150900
14/12/2017,0.00345,0.00372,0.00342,0.00371,23426200
15/12/2017,0.00367,0.00381,0.00348,0.00376,19043800
16/12/2017,0.00377,0.00625,0.00364,0.00593,136352992
17/12/2017,0.00592,0.00763,0.00559,0.00598,99417200
18/12/2017,0.00594,0.00681,0.00562,0.00643,44158800
19/12/2017,0.00640,0.00669,0.00548,0.00567,38885700
20/12/2017,0.00562,0.00707,0.00489,0.00666,67820000
21/12/2017,0.00673,0.00877,0.00658,0.00743,159154000
22/12/2017,0.00739,0.00763,0.00474,0.00605,63693900
23/12/2017,0.00614,0.00808,0.00611,0.00726,70143104
24/12/2017,0.00728,0.00895,0.00597,0.00858,143767008
25/12/2017,0.00865,0.01073,0.00858,0.00893,178008992
26/12/2017,0.00894,0.00962,0.00817,0.00941,124427000
27/12/2017,0.00934,0.00961,0.00851,0.00887,63625500
28/12/2017,0.00886,0.00886,0.00772,0.00849,51201500
29/12/2017,0.00851,0.00948,0.00816,0.00939,62474900
30/12/2017,0.00937,0.00945,0.00739,0.00786,56175300
31/12/2017,0.00780,0.00927,0.00767,0.00897,62256400
01/01/2018,0.00903,0.00906,0.00810,0.00891,50616900
02/01/2018,0.00887,0.00960,0.00855,0.00915,89424096
03/01/2018,0.00909,0.00958,0.00888,0.00932,66349900
04/01/2018,0.00935,0.01004,0.00877,0.00964,108986000
05/01/2018,0.00966,0.01228,0.00959,0.01217,212383008
06/01/2018,0.01223,0.01579,0.01223,0.01486,283716992
07/01/2018,0.01467,0.01877,0.01458,0.01709,288184000
08/01/2018,0.01712,0.01766,0.01377,0.01505,235114000
09/01/2018,0.01507,0.01557,0.01302,0.01342,115255000
10/01/2018,0.01355,0.01356,0.01149,0.01310,100243000
11/01/2018,0.01302,0.01315,0.01099,0.01147,62722000
12/01/2018,0.01148,0.01334,0.01117,0.01306,56971300
13/01/2018,0.01306,0.01365,0.01248,0.01302,55890600
14/01/2018,0.01306,0.01319,0.01134,0.01168,65899000
15/01/2018,0.01163,0.01178,0.00985,0.00986,62765500
16/01/2018,0.00986,0.00986,0.00567,0.00682,68099200
17/01/2018,0.00681,0.00774,0.00550,0.00765,58846200
18/01/2018,0.00764,0.00873,0.00720,0.00797,56599300
19/01/2018,0.00787,0.00844,0.00747,0.00787,30335700
20/01/2018,0.00796,0.00865,0.00796,0.00845,22974100
21/01/2018,0.00844,0.00844,0.00698,0.00713,22933100
22/01/2018,0.00720,0.00761,0.00632,0.00673,19968600
23/01/2018,0.00672,0.00705,0.00623,0.00667,17882700
24/01/2018,0.00664,0.00722,0.00647,0.00708,17449900
25/01/2018,0.00716,0.00776,0.00712,0.00767,21329400
26/01/2018,0.00770,0.00798,0.00680,0.00724,19572300
27/01/2018,0.00724,0.00755,0.00717,0.00737,11672900
28/01/2018,0.00741,0.00768,0.00734,0.00747,14070700
