Date,Open,High,Low,Close,Volume
17/09/2014,5.08589,5.17077,4.96595,5.05855,3071840
18/09/2014,5.06543,5.06543,4.57996,4.68523,4569260
19/09/2014,4.68729,4.75582,4.25435,4.32777,3917450
20/09/2014,4.32920,4.61608,4.20219,4.28644,5490660
21/09/2014,4.26307,4.30013,4.15499,4.24592,2931220
22/09/2014,4.24593,4.41688,4.21013,4.24235,1855960
23/09/2014,4.23999,4.88135,4.18887,4.74657,4661670
24/09/2014,4.74420,4.74512,4.62769,4.66679,2662290
25/09/2014,4.66588,4.67132,4.44870,4.51465,2046960
26/09/2014,4.50993,4.55182,4.38880,4.43359,1548350
27/09/2014,4.43439,4.48924,4.39799,4.42180,889525
28/09/2014,4.42462,4.45761,4.20278,4.23323,1741170
29/09/2014,4.23763,4.33025,4.19810,4.24679,1712650
30/09/2014,4.25219,4.54901,4.22593,4.47473,2456420
01/10/2014,4.47096,4.50374,4.38486,4.42856,1172180
02/10/2014,4.43015,4.46348,4.28623,4.32266,1124950
03/10/2014,4.31936,4.34031,4.16404,4.17512,1471270
04/10/2014,4.17313,4.28404,3.88801,3.93820,6948810
05/10/2014,3.94207,4.04342,3.48060,3.69914,8143680
06/10/2014,3.70305,3.91486,3.57225,3.82237,9482680
07/10/2014,3.81333,3.94986,3.68821,3.85863,7096400
08/10/2014,3.85547,3.92989,3.74783,3.90789,5850860
09/10/2014,3.90862,4.02876,3.86529,3.90066,8316140
10/10/2014,3.89886,3.91589,3.77425,3.80739,6313690
11/10/2014,3.79592,3.83897,3.67792,3.77266,3498570
12/10/2014,3.77658,3.85147,3.69604,3.85033,2712090
13/10/2014,3.84644,3.89574,3.79118,3.86178,4200710
14/10/2014,3.86452,4.22911,3.86452,4.07591,8247860
15/10/2014,4.07699,4.07699,3.99275,4.05642,4837180
16/10/2014,4.05774,4.09680,3.95876,3.99089,4204880
17/10/2014,3.99144,4.01603,3.95391,3.99327,3561280
18/10/2014,3.99163,4.08773,3.95471,4.05576,2386140
19/10/2014,4.05643,4.06146,3.97444,3.98894,1576340
20/10/2014,3.98357,3.98357,3.87748,3.90983,2252890
21/10/2014,3.91180,3.96994,3.90036,3.94001,1948840
22/10/2014,3.94095,3.95996,3.83858,3.84332,2094200
23/10/2014,3.84697,3.86606,3.72657,3.73965,3191780
24/10/2014,3.73949,3.77981,3.72450,3.74753,3557710
25/10/2014,3.74873,3.75984,3.62904,3.66755,2370430
26/10/2014,3.66895,3.76737,3.66153,3.72718,1986590
27/10/2014,3.72406,3.89332,3.71307,3.80731,2694530
28/10/2014,3.81227,3.89658,3.79468,3.84607,2222000
29/10/2014,3.85288,3.85333,3.72040,3.72695,2551500
30/10/2014,3.73450,3.81917,3.71953,3.78586,2667440
31/10/2014,3.78465,3.80454,3.74532,3.75400,2303900
01/11/2014,3.75666,3.75715,3.55910,3.57059,2476220
02/11/2014,3.57688,3.62291,3.55450,3.58510,2031400
03/11/2014,3.58591,3.66175,3.55639,3.57806,2034500
04/11/2014,3.58042,3.61953,3.54765,3.59176,2336120
05/11/2014,3.59031,3.67109,3.59031,3.64485,2855540
06/11/2014,3.64214,3.66741,3.61875,3.64956,2461750
07/11/2014,3.64967,3.66196,3.55499,3.55737,2417010
08/11/2014,3.55665,3.57875,3.53233,3.55626,1508220
09/11/2014,3.55484,3.63730,3.54694,3.63146,1873830
10/11/2014,3.63216,3.73109,3.59356,3.69563,3545550
11/11/2014,3.69851,3.73780,3.67436,3.67589,2783960
12/11/2014,3.67973,4.14151,3.67973,4.06861,8733140
13/11/2014,4.13299,4.35022,4.01938,4.09766,13963000
14/11/2014,4.08550,4.09120,3.86164,3.98937,7587850
15/11/2014,3.99226,4.03766,3.80975,3.85433,3891770
16/11/2014,3.84119,3.90095,3.82599,3.88363,2991050
17/11/2014,3.88056,3.99699,3.83048,3.87744,3967100
18/11/2014,3.87515,3.90604,3.75187,3.77016,4024840
19/11/2014,3.77996,3.84393,3.77248,3.80746,2858300
20/11/2014,3.80696,3.81750,3.58542,3.61155,3682840
21/11/2014,3.61430,3.61430,3.48041,3.49693,3851320
22/11/2014,3.50114,3.62063,3.48922,3.52329,2446510
23/11/2014,3.52278,3.61197,3.51573,3.59436,1686970
24/11/2014,3.59464,3.68908,3.56959,3.62855,3281530
25/11/2014,3.62498,3.69670,3.54505,3.56750,3468870
26/11/2014,3.56891,3.58715,3.53578,3.56046,2497390
27/11/2014,3.56507,3.58025,3.55278,3.55988,1764690
28/11/2014,3.56079,3.64277,3.50091,3.60386,2007140
29/11/2014,3.60471,3.63612,3.57032,3.58628,2264640
30/11/2014,3.58596,3.61412,3.56247,3.57609,1206290
01/12/2014,3.57559,3.60692,3.56664,3.57714,1275120
02/12/2014,3.57799,3.66159,3.57779,3.63110,2051950
03/12/2014,3.62800,3.65285,3.58207,3.61202,1715450
04/12/2014,3.61170,3.63680,3.58622,3.59263,2291670
05/12/2014,3.59409,3.62251,3.57577,3.61823,2350920
06/12/2014,3.61596,3.62823,3.60367,3.61452,1690520
07/12/2014,3.61560,3.74953,3.60851,3.71116,1759240
08/12/2014,3.70837,3.76522,3.65320,3.65320,2295450
09/12/2014,3.65502,3.66892,3.48255,3.52117,3606940
10/12/2014,3.52384,3.54068,3.48157,3.49986,1982380
11/12/2014,3.49393,3.55981,3.43963,3.48108,2667680
12/12/2014,3.47890,3.49242,3.47890,3.48671,2060970
13/12/2014,3.48657,3.48976,3.45956,3.47607,2121910
14/12/2014,3.47520,3.49874,3.46766,3.48048,1547550
15/12/2014,3.48111,3.48160,3.44886,3.45078,2292030
16/12/2014,3.45184,3.46057,2.98927,3.01526,5220210
17/12/2014,3.01056,3.06883,2.89999,2.94023,3969240
18/12/2014,2.94443,2.99596,2.70197,2.80557,4301260
19/12/2014,2.80528,2.87384,2.72724,2.86911,2780240
20/12/2014,2.86710,2.94369,2.86710,2.92358,2591650
21/12/2014,2.91463,2.92037,2.84158,2.85039,2187630
22/12/2014,2.86025,2.90668,2.83579,2.88579,2477440
23/12/2014,2.88732,2.90527,2.86212,2.88196,1901360
24/12/2014,2.87770,2.88083,2.72956,2.73834,2076240
25/12/2014,2.73595,2.75274,2.67091,2.69945,1640910
26/12/2014,2.70070,2.81018,2.68167,2.78169,2088360
27/12/2014,2.77958,2.79537,2.70296,2.71695,2180800
28/12/2014,2.71900,2.76183,2.67281,2.73304,1701950
29/12/2014,2.73380,2.74722,2.68709,2.69482,1471530
30/12/2014,2.69617,2.72399,2.66743,2.70401,1536350
31/12/2014,2.70384,2.72983,2.69230,2.71893,1577550
01/01/2015,2.72421,2.72421,2.68977,2.69905,770693
02/01/2015,2.69743,2.69924,2.66385,2.66736,855392
03/01/2015,2.66646,2.66646,2.13316,2.13316,5193080
04/01/2015,2.11022,2.15446,1.91241,1.95668,3888140
05/01/2015,1.95803,2.16048,1.95803,2.08218,10649500
06/01/2015,2.08434,2.11824,2.04454,2.11212,3242950
07/01/2015,2.11810,2.14987,2.08114,2.11818,3388950
08/01/2015,2.11561,2.12350,2.00185,2.00807,2924520
09/01/2015,2.01002,2.01129,1.95863,1.98336,1951160
10/01/2015,1.96999,1.98034,1.62186,1.65332,2911190
11/01/2015,1.65360,1.87821,1.64399,1.72456,2581500
12/01/2015,1.71768,1.79420,1.69676,1.71423,1738370
13/01/2015,1.71020,1.71914,1.53346,1.54112,4039950
14/01/2015,1.54961,1.58267,1.11374,1.15701,4721280
15/01/2015,1.15324,1.37658,1.15254,1.28277,3487080
16/01/2015,1.27719,1.47278,1.27169,1.40227,2669280
17/01/2015,1.39780,1.40362,1.25219,1.29341,1514960
18/01/2015,1.29603,1.37228,1.23336,1.33333,1694820
19/01/2015,1.32857,1.35930,1.30638,1.34178,728641
20/01/2015,1.34099,1.34481,1.29964,1.32355,1069660
21/01/2015,1.32390,1.37417,1.31821,1.37331,1191370
22/01/2015,1.37427,1.45388,1.37427,1.41875,1660700
23/01/2015,1.41231,1.43016,1.38068,1.42595,1267530
24/01/2015,1.43068,1.88701,1.41913,1.84380,4858920
25/01/2015,1.84205,2.37495,1.83950,2.24830,9178540
26/01/2015,2.24549,2.38536,2.06070,2.08105,8803090
27/01/2015,2.07418,2.13702,1.86954,2.08608,4502690
28/01/2015,2.09127,2.13484,1.80943,1.87202,3295480
29/01/2015,1.87663,1.94891,1.83267,1.91567,2191570
30/01/2015,1.91446,1.98438,1.89064,1.89763,1805110
31/01/2015,1.89613,1.93992,1.87051,1.87350,1205140
01/02/2015,1.87878,1.88098,1.67915,1.80352,2661610
02/02/2015,1.81281,1.88245,1.74792,1.87618,1955370
03/02/2015,1.87418,1.93760,1.80809,1.82176,2425490
04/02/2015,1.82085,1.83888,1.75758,1.79235,3683490
05/02/2015,1.79474,1.81016,1.73020,1.74123,4490700
06/02/2015,1.74033,1.82746,1.74019,1.75941,2332680
07/02/2015,1.75956,1.79174,1.74269,1.78172,1272440
08/02/2015,1.78679,1.81365,1.75809,1.78359,793432
09/02/2015,1.78527,1.78551,1.71526,1.73147,1412300
10/02/2015,1.73325,1.78615,1.68729,1.76318,1943220
11/02/2015,1.76081,1.78855,1.71517,1.72744,1202390
12/02/2015,1.73081,1.76514,1.71675,1.75756,1073660
13/02/2015,1.75509,1.85321,1.74563,1.82168,2417560
14/02/2015,1.82293,1.96317,1.82138,1.93769,2967890
15/02/2015,1.94003,2.02953,1.79408,1.84200,3678900
