Date,Open,High,Low,Close,Volume
09/11/2017,0.21791,0.22179,0.21487,0.21749,147916992
10/11/2017,0.21826,0.21907,0.20526,0.20648,141032992
11/11/2017,0.20595,0.21446,0.20546,0.21043,134503008
12/11/2017,0.21021,0.21021,0.19539,0.19734,251175008
13/11/2017,0.19747,0.20408,0.19746,0.20344,132567000
14/11/2017,0.20368,0.21369,0.20368,0.20983,127361000
15/11/2017,0.20894,0.21311,0.20806,0.21296,100294000
16/11/2017,0.21266,0.27179,0.20929,0.22711,1022579968
17/11/2017,0.22477,0.23941,0.22027,0.22658,397071008
18/11/2017,0.22655,0.23040,0.22240,0.22863,144298000
19/11/2017,0.22814,0.23623,0.22604,0.23102,193808000
20/11/2017,0.23134,0.24343,0.23092,0.23876,214663008
21/11/2017,0.23798,0.24097,0.22720,0.23327,217851008
22/11/2017,0.23264,0.24085,0.23232,0.23886,167078000
23/11/2017,0.23899,0.25010,0.23730,0.24240,240684992
24/11/2017,0.24285,0.24539,0.23842,0.24464,211486000
25/11/2017,0.24418,0.25570,0.24358,0.25239,212592992
26/11/2017,0.25291,0.25291,0.24859,0.24882,133297000
27/11/2017,0.24831,0.25473,0.24786,0.25393,196735008
28/11/2017,0.25404,0.30108,0.25342,0.29915,720742976
29/11/2017,0.29787,0.29787,0.23941,0.24306,541177984
30/11/2017,0.24643,0.26152,0.22959,0.25088,270907008
01/12/2017,0.25035,0.25883,0.23944,0.25570,182992000
02/12/2017,0.25566,0.25922,0.25076,0.25549,118250000
03/12/2017,0.25553,0.26307,0.24739,0.25256,134710000
04/12/2017,0.25292,0.25536,0.24716,0.25357,104650000
05/12/2017,0.25360,0.25399,0.24523,0.24610,174591008
06/12/2017,0.24542,0.24571,0.22774,0.23254,274526016
07/12/2017,0.23262,0.23376,0.22134,0.22282,275204992
08/12/2017,0.22364,0.27867,0.22217,0.25213,660172032
09/12/2017,0.25216,0.25568,0.24007,0.24471,205288992
10/12/2017,0.24555,0.24555,0.22930,0.23733,198174000
11/12/2017,0.23657,0.25278,0.23580,0.25169,176100992
12/12/2017,0.25226,0.43410,0.25096,0.37354,1555040000
13/12/2017,0.37269,0.51377,0.34296,0.47106,2738759936
14/12/2017,0.47065,0.89227,0.46640,0.86426,6358700032
15/12/2017,0.86176,0.86176,0.66611,0.75618,3194210048
16/12/2017,0.75549,0.81592,0.74167,0.75864,1334770048
17/12/2017,0.75413,0.76598,0.71993,0.72837,805200000
18/12/2017,0.72804,0.79201,0.68932,0.77841,1342720000
19/12/2017,0.77745,0.86354,0.75672,0.79126,1449670016
20/12/2017,0.78717,0.78904,0.73095,0.77596,1007420032
21/12/2017,0.78252,1.23622,0.78252,1.19306,3626109952
22/12/2017,1.16651,1.37918,0.74101,1.13828,4644700160
23/12/2017,1.16594,1.20810,1.07611,1.17434,1497590016
24/12/2017,1.17558,1.17558,0.91123,1.04395,754958976
25/12/2017,1.04561,1.12852,1.00356,1.12232,686014016
26/12/2017,1.12174,1.19131,1.09062,1.18949,938846976
27/12/2017,1.18422,1.46846,1.18234,1.39964,2854259968
28/12/2017,1.39389,1.50080,1.25865,1.43088,2843300096
29/12/2017,1.43957,2.26515,1.43658,2.21460,7545739776
30/12/2017,2.19900,2.85453,2.03517,2.15902,8108389888
31/12/2017,2.09510,2.39200,1.87030,2.30057,4642079744
01/01/2018,2.29602,2.39103,2.14897,2.39103,1894230016
02/01/2018,2.36948,2.48919,2.24793,2.48090,3171010048
03/01/2018,2.46410,3.27938,2.44315,3.10537,6635879936
04/01/2018,3.11734,3.84194,3.11734,3.19663,8103660032
05/01/2018,3.30081,3.56468,2.82561,3.04871,6288500224
06/01/2018,3.02105,3.23656,2.98992,3.09397,2777560064
07/01/2018,3.09296,3.48725,3.08382,3.37781,2395150080
08/01/2018,3.36357,3.36357,2.06552,2.45621,3315259904
09/01/2018,2.44346,2.52896,1.98066,2.10178,3694700032
10/01/2018,2.12991,2.15887,1.69519,1.97492,4833639936
11/01/2018,1.98021,2.24898,1.61527,1.95080,6296119808
12/01/2018,1.94048,2.15682,1.86729,2.04323,3330810112
13/01/2018,2.05141,2.11870,1.98202,2.02135,2130169984
14/01/2018,2.01852,2.01852,1.81184,1.86119,1978200064
15/01/2018,1.85625,1.90081,1.66529,1.67673,1838460032
16/01/2018,1.67836,1.70138,0.90931,1.17924,5687960064
17/01/2018,1.18368,1.37673,0.89780,1.30634,7251210240
18/01/2018,1.30558,1.73319,1.25605,1.59658,9110439936
19/01/2018,1.58217,1.70214,1.50134,1.55205,3697430016
20/01/2018,1.56284,1.62833,1.50274,1.57862,2346449920
21/01/2018,1.57623,1.57623,1.34303,1.38004,2840750080
22/01/2018,1.39161,1.42841,1.16308,1.35735,2642510080
23/01/2018,1.35319,1.43472,1.20426,1.33707,2977080064
24/01/2018,1.35212,1.42496,1.30784,1.35715,1853440000
25/01/2018,1.36325,1.38484,1.29287,1.31223,986067968
26/01/2018,1.30892,1.32602,1.13500,1.21727,2037570048
27/01/2018,1.21789,1.23948,1.18944,1.21911,689100992
28/01/2018,1.22389,1.43812,1.22389,1.39960,1327360000
29/01/2018,1.39921,1.40525,1.29913,1.32397,1073680000
30/01/2018,1.32818,1.32818,1.13113,1.13856,1134640000
31/01/2018,1.13066,1.19093,1.03661,1.16239,1264029952
01/02/2018,1.16088,1.16260,0.93038,0.96253,1410419968
02/02/2018,0.96064,0.96064,0.63519,0.88478,3529760000
03/02/2018,0.89199,0.97480,0.76164,0.92404,1988960000
04/02/2018,0.91342,0.95295,0.79682,0.81570,1190960000
05/02/2018,0.82594,0.83387,0.67583,0.69180,1286179968
06/02/2018,0.70512,0.78600,0.58836,0.77639,2361139968
07/02/2018,0.77458,0.80548,0.70695,0.72390,1133369984
08/02/2018,0.72925,0.80697,0.72261,0.80526,947315008
09/02/2018,0.79714,0.95443,0.77154,0.95443,1690339968
10/02/2018,0.94725,1.30059,0.94725,1.07074,4682010112
11/02/2018,1.06733,1.07510,0.92977,1.00416,2555310080
12/02/2018,1.00650,1.10673,1.00650,1.08101,1756290048
13/02/2018,1.07974,1.08293,1.01471,1.02741,921100032
14/02/2018,1.02608,1.16510,1.02129,1.14162,1457600000
15/02/2018,1.13905,1.16396,1.11147,1.14686,1188530048
16/02/2018,1.14494,1.15184,1.11261,1.13803,568339008
17/02/2018,1.13743,1.21759,1.13252,1.20498,1186729984
18/02/2018,1.20478,1.20734,1.09336,1.12046,1113650048
19/02/2018,1.12315,1.16643,1.12097,1.14442,556304000
20/02/2018,1.14455,1.17448,1.08365,1.08946,806673024
21/02/2018,1.08199,1.09588,0.99888,1.01539,871526016
22/02/2018,1.01226,1.04732,0.92246,0.94179,889707008
23/02/2018,0.93418,1.02721,0.89829,0.99886,896403968
24/02/2018,0.99766,1.01394,0.92946,0.95440,489920000
25/02/2018,0.95198,0.96760,0.91528,0.94349,360271008
26/02/2018,0.94370,0.97091,0.91340,0.95686,458612992
27/02/2018,0.95930,0.97258,0.94498,0.94731,312712992
28/02/2018,0.94470,0.95555,0.90379,0.90458,329529984
01/03/2018,0.90413,0.95380,0.89063,0.92835,475256992
02/03/2018,0.92664,0.93391,0.90229,0.91014,271036000
03/03/2018,0.90879,0.92651,0.90360,0.90780,280852992
04/03/2018,0.90601,1.02631,0.89562,1.00554,797225984
05/03/2018,1.01429,1.08021,0.95612,0.95937,1706819968
06/03/2018,0.95445,0.99131,0.91686,0.92289,875180032
07/03/2018,0.92438,0.93066,0.82490,0.87121,809598016
08/03/2018,0.87251,0.88856,0.82539,0.82586,499496000
09/03/2018,0.82612,0.85618,0.75149,0.84976,989203008
10/03/2018,0.85487,0.86044,0.79374,0.79663,402670016
11/03/2018,0.79577,0.84041,0.77574,0.83112,472972000
12/03/2018,0.83213,0.83833,0.78788,0.80105,355031008
13/03/2018,0.79845,0.80573,0.77847,0.78971,279679008
14/03/2018,0.78957,0.79908,0.67601,0.70190,479148992
15/03/2018,0.70291,0.73067,0.64385,0.69727,888345024
16/03/2018,0.69906,0.71178,0.67446,0.68926,502740000
17/03/2018,0.68775,0.68943,0.62671,0.63786,319824000
18/03/2018,0.63447,0.67759,0.54882,0.65878,923606016
19/03/2018,0.67213,0.74908,0.64001,0.74908,1096930048
20/03/2018,0.73676,0.73676,0.67343,0.70981,814275968
21/03/2018,0.71306,0.72061,0.67916,0.69366,527324000
22/03/2018,0.69315,0.70135,0.63674,0.66274,449041984
23/03/2018,0.66311,0.66311,0.62526,0.64317,387164000
24/03/2018,0.64621,0.67961,0.64052,0.64127,390740000
25/03/2018,0.63863,0.65721,0.63190,0.64188,229352000
26/03/2018,0.64268,0.64412,0.58592,0.59946,384504992
27/03/2018,0.59903,0.60433,0.56513,0.57792,351380992
28/03/2018,0.57751,0.59402,0.57283,0.57800,258298000
29/03/2018,0.57777,0.57864,0.51151,0.51151,420550016
30/03/2018,0.51327,0.53128,0.48436,0.50957,518219008
31/03/2018,0.51062,0.52941,0.50517,0.51235,293208000
01/04/2018,0.51385,0.51544,0.46622,0.48508,297868992
02/04/2018,0.48607,0.51045,0.47860,0.50069,262342000
03/04/2018,0.50153,0.56270,0.49966,0.55804,578238976
04/04/2018,0.55457,0.56312,0.49849,0.50163,415257984
05/04/2018,0.50195,0.50588,0.48449,0.49580,358755008
06/04/2018,0.49478,0.49809,0.46562,0.47643,218156000
07/04/2018,0.47685,0.49567,0.47458,0.48787,209076000
08/04/2018,0.48823,0.50142,0.48759,0.50040,137548000
09/04/2018,0.50120,0.51214,0.48257,0.49186,271775008
10/04/2018,0.49213,0.49365,0.48284,0.49193,154495008
11/04/2018,0.49257,0.54846,0.48903,0.53951,341707008
12/04/2018,0.53866,0.64452,0.50654,0.62874,1346739968
13/04/2018,0.63009,0.69311,0.60582,0.63809,1245170048
14/04/2018,0.63738,0.66151,0.61631,0.63218,626268032
15/04/2018,0.63488,0.68253,0.63414,0.68253,609636992
16/04/2018,0.68230,0.68717,0.63861,0.66330,531996000
17/04/2018,0.66489,0.67736,0.65435,0.65693,442352992
18/04/2018,0.65705,0.72143,0.65705,0.70893,624049024
19/04/2018,0.71206,0.79198,0.70684,0.79198,878328000
20/04/2018,0.79117,0.93835,0.79117,0.92447,2344069888
21/04/2018,0.92502,0.92502,0.82111,0.87310,1563970048
22/04/2018,0.86682,0.91190,0.84809,0.87000,946398976
23/04/2018,0.86658,0.88629,0.86330,0.87666,674545024
24/04/2018,0.87601,0.96561,0.87357,0.93478,1572930048
25/04/2018,0.93277,0.93277,0.77923,0.80061,1614050048
26/04/2018,0.80177,0.85241,0.77179,0.85241,1028590016
27/04/2018,0.85114,0.85964,0.81389,0.81389,673793024
28/04/2018,0.81206,0.88759,0.81206,0.86380,788718976
29/04/2018,0.86440,0.90495,0.83448,0.87278,896313984
30/04/2018,0.87140,0.87679,0.83121,0.83794,575363968
01/05/2018,0.83836,0.84207,0.79783,0.84141,630809024
02/05/2018,0.83936,0.86428,0.83171,0.85909,544425984
03/05/2018,0.85898,0.89292,0.84732,0.88447,725228992
04/05/2018,0.88154,0.92770,0.86692,0.89544,1007609984
05/05/2018,0.89556,0.92235,0.89556,0.90510,668800000
06/05/2018,0.90424,0.91868,0.85597,0.87142,640057024
07/05/2018,0.87121,0.87124,0.81293,0.83264,602534976
08/05/2018,0.83309,0.84699,0.80357,0.81397,465040992
09/05/2018,0.81339,0.81997,0.77030,0.80204,611574976
10/05/2018,0.80321,0.80891,0.75734,0.75824,399324000
11/05/2018,0.75658,0.76133,0.65603,0.68495,991409024
12/05/2018,0.68577,0.71492,0.63977,0.69674,596684992
13/05/2018,0.69809,0.75898,0.68097,0.74575,532488000
14/05/2018,0.74470,0.75698,0.70769,0.74090,613462016
15/05/2018,0.73894,0.75227,0.69267,0.69859,422980000
16/05/2018,0.69592,0.71408,0.66944,0.71408,429641984
17/05/2018,0.71339,0.71462,0.66121,0.66731,337999008
18/05/2018,0.66540,0.68563,0.65339,0.68029,344944000
19/05/2018,0.68076,0.69045,0.66590,0.67671,249039008
20/05/2018,0.67726,0.70461,0.67335,0.70024,275614016
21/05/2018,0.70044,0.70305,0.67620,0.68159,250480992
22/05/2018,0.68215,0.68293,0.64459,0.64557,234712992
23/05/2018,0.64863,0.64912,0.58700,0.59959,482480992
24/05/2018,0.59921,0.64026,0.58927,0.63200,440532992
25/05/2018,0.63292,0.63621,0.60333,0.61100,289816000
26/05/2018,0.61012,0.62649,0.60380,0.61271,213242000
27/05/2018,0.61204,0.61288,0.60333,0.60788,186963008
28/05/2018,0.60837,0.60978,0.55230,0.55230,327903008
29/05/2018,0.55608,0.61075,0.55164,0.60124,380744000
30/05/2018,0.60377,0.62768,0.59006,0.60582,320604992
31/05/2018,0.60345,0.62164,0.59609,0.61262,283328000
01/06/2018,0.61289,0.62482,0.60907,0.62336,263088000
02/06/2018,0.62346,0.64898,0.61948,0.64345,315206016
03/06/2018,0.64341,0.67359,0.64089,0.67121,327804000
04/06/2018,0.69247,0.70362,0.64460,0.66143,558131008
05/06/2018,0.66190,0.68384,0.64143,0.67702,386328000
06/06/2018,0.67790,0.68167,0.66006,0.67480,273966016
07/06/2018,0.67531,0.68822,0.67315,0.67813,244568000
08/06/2018,0.67759,0.67967,0.66080,0.67434,221887008
09/06/2018,0.67478,0.67889,0.65976,0.65976,175990000
10/06/2018,0.65951,0.65951,0.56124,0.58813,492555008
11/06/2018,0.58620,0.60407,0.56872,0.60407,336547008
12/06/2018,0.60214,0.60214,0.55665,0.56293,309544000
13/06/2018,0.56285,0.56464,0.51704,0.53466,359864992
14/06/2018,0.53544,0.57059,0.52661,0.56131,379824992
15/06/2018,0.56006,0.56006,0.53430,0.53771,241684992
16/06/2018,0.53711,0.53929,0.52359,0.53478,202682000
17/06/2018,0.53554,0.53888,0.52522,0.52822,166028000
18/06/2018,0.52882,0.54779,0.51183,0.53750,276527008
19/06/2018,0.53861,0.55806,0.53460,0.54962,255400000
20/06/2018,0.54974,0.55055,0.52586,0.53929,256920000
21/06/2018,0.53923,0.54701,0.53070,0.53478,194312000
22/06/2018,0.53509,0.53509,0.47729,0.48695,339428992
23/06/2018,0.48731,0.49671,0.48087,0.49128,204927008
24/06/2018,0.49177,0.49373,0.45005,0.47738,369520000
25/06/2018,0.47711,0.49111,0.47556,0.48175,231728992
26/06/2018,0.48238,0.48287,0.45600,0.45600,179426000
27/06/2018,0.45555,0.47276,0.45196,0.47037,215618000
28/06/2018,0.47033,0.47168,0.44575,0.44846,220566000
29/06/2018,0.44835,0.45834,0.42730,0.45308,309777984
30/06/2018,0.45411,0.48015,0.45411,0.46625,345528992
01/07/2018,0.46594,0.46628,0.45082,0.46136,267224992
02/07/2018,0.46161,0.48892,0.45384,0.48612,335919008
03/07/2018,0.48626,0.51570,0.48084,0.48522,410225984
04/07/2018,0.48558,0.50360,0.47577,0.49004,313828992
05/07/2018,0.49042,0.49740,0.47297,0.48163,279999008
06/07/2018,0.48058,0.48147,0.46241,0.47915,245003008
07/07/2018,0.47862,0.49248,0.46772,0.49248,214979008
08/07/2018,0.49232,0.49490,0.47597,0.47775,226644000
09/07/2018,0.47729,0.48077,0.47265,0.47427,206344992
10/07/2018,0.47386,0.47434,0.44326,0.44504,230418000
11/07/2018,0.44513,0.45255,0.44357,0.45023,183887008
12/07/2018,0.44988,0.44997,0.42803,0.43536,182139008
13/07/2018,0.43651,0.44451,0.43481,0.43874,179403008
14/07/2018,0.43856,0.44165,0.43390,0.43927,134840992
15/07/2018,0.43910,0.44899,0.43719,0.44589,152903008
16/07/2018,0.44641,0.48340,0.44451,0.48340,269283008
17/07/2018,0.48130,0.51660,0.47005,0.50559,347700000
18/07/2018,0.50512,0.51956,0.47723,0.48639,367988992
19/07/2018,0.48758,0.49124,0.47172,0.47643,293942016
20/07/2018,0.47649,0.47649,0.43648,0.44699,295403008
21/07/2018,0.44622,0.45876,0.43832,0.45541,180339008
22/07/2018,0.45500,0.46099,0.44914,0.44931,158906000
23/07/2018,0.44912,0.46178,0.44450,0.44528,194542000
24/07/2018,0.44556,0.46682,0.43857,0.45762,319956000
25/07/2018,0.45584,0.46553,0.45072,0.45983,255872000
26/07/2018,0.45945,0.46698,0.44685,0.44992,199587008
27/07/2018,0.44962,0.45949,0.44522,0.45364,203720992
