Date,Open,High,Low,Close,Volume
09/11/2017,1.01087,1.01327,0.99652,1.00818,358188000
10/11/2017,1.00650,1.02423,0.99549,1.00601,756446016
11/11/2017,1.00598,1.02621,0.99580,1.00899,746227968
12/11/2017,1.00602,1.10591,0.96760,1.01247,1466060032
13/11/2017,1.00448,1.02929,0.97510,1.00935,767884032
14/11/2017,1.00524,1.01343,0.99690,1.00683,429857984
15/11/2017,1.00458,1.01163,1.00025,1.00318,449671008
16/11/2017,1.00582,1.01089,0.99323,1.00212,650278976
17/11/2017,0.99576,1.01181,0.99576,1.00139,639398016
18/11/2017,1.00065,1.00918,0.99634,1.00231,588136000
19/11/2017,1.00237,1.00749,0.99669,1.00244,485752992
20/11/2017,1.00138,1.00298,0.99654,1.00192,449595008
21/11/2017,1.00347,1.01120,0.98857,0.99605,622649024
22/11/2017,0.99743,1.00340,0.99279,1.00015,499812000
23/11/2017,0.99866,1.00634,0.99224,0.99463,735883008
24/11/2017,1.00414,1.00713,0.98800,1.00233,848627968
25/11/2017,1.00232,1.00907,0.99508,1.00541,651987968
26/11/2017,1.00422,1.01742,1.00056,1.00868,636451968
27/11/2017,1.00675,1.02017,0.99813,1.00129,784436992
28/11/2017,1.00287,1.00648,0.99605,1.00014,794764032
29/11/2017,1.00013,1.04845,0.95562,0.99061,1672120064
30/11/2017,1.00386,1.02867,0.98932,1.00810,1043969984
01/12/2017,1.00720,1.01921,0.99304,1.00978,749395968
02/12/2017,1.00895,1.01677,0.99561,0.99965,679950016
03/12/2017,1.00102,1.02954,0.98532,1.00066,946748992
04/12/2017,1.00245,1.01405,0.99213,1.00367,668510016
05/12/2017,1.00351,1.00837,0.99646,1.00197,814145984
06/12/2017,0.99976,1.02004,0.99584,1.00991,1281490048
07/12/2017,1.00707,1.07695,1.00107,1.03166,1671609984
08/12/2017,1.03633,1.05766,0.98656,1.01760,1993030016
09/12/2017,1.02058,1.04726,0.99356,1.01713,1598909952
10/12/2017,1.02206,1.04466,0.97154,1.01775,1649500032
11/12/2017,1.01272,1.02963,0.99995,1.01856,1542119936
12/12/2017,1.01882,1.08167,1.00087,1.07788,2240839936
13/12/2017,1.08095,1.08800,1.01946,1.02716,2198139904
14/12/2017,1.02672,1.05142,1.00669,1.00819,2336179968
15/12/2017,1.00982,1.01873,0.99553,1.01610,2044499968
16/12/2017,1.01736,1.01937,1.00182,1.00742,1592729984
17/12/2017,1.01174,1.01640,1.00286,1.00924,1931020032
18/12/2017,1.01052,1.01830,0.99574,1.01302,2517230080
19/12/2017,1.01313,1.03397,0.99677,1.01068,3073860096
20/12/2017,1.00841,1.01919,0.98908,1.00018,3751790080
21/12/2017,1.00231,1.04041,0.99381,1.00921,3106720000
22/12/2017,1.00635,1.05909,0.96309,1.01795,4687949824
23/12/2017,1.01239,1.05200,1.00726,1.04526,2353740032
24/12/2017,1.05071,1.06922,1.02183,1.02303,2611589888
25/12/2017,1.02648,1.03172,1.00894,1.01113,1708380032
26/12/2017,1.01049,1.01732,0.99858,1.00407,1854780032
27/12/2017,1.00469,1.01484,0.99646,1.00366,1939949952
28/12/2017,1.00331,1.03306,1.00055,1.00659,2211409920
29/12/2017,1.01095,1.01519,1.00088,1.00564,1929090048
30/12/2017,1.00772,1.03478,0.99284,1.02135,2711059968
31/12/2017,1.02431,1.02431,1.00027,1.01226,1927010048
01/01/2018,1.01255,1.01536,1.00153,1.00728,1685299968
02/01/2018,1.00574,1.00988,0.99325,1.00490,2635859968
03/01/2018,1.00660,1.02328,1.00264,1.01344,2471689984
04/01/2018,1.01320,1.01618,0.99382,1.00253,3200130048
05/01/2018,1.00175,1.00501,0.98592,0.99863,3096620032
06/01/2018,1.00028,1.01209,0.99685,1.00899,2620080128
07/01/2018,1.00727,1.01572,0.99821,1.00157,2338180096
08/01/2018,1.00514,1.04236,0.99762,1.00932,3815749888
09/01/2018,1.00858,1.01430,1.00066,1.00599,2766180096
10/01/2018,1.00515,1.01382,0.99645,1.00128,3189860096
11/01/2018,0.99998,1.02352,0.99020,1.00171,3841110016
12/01/2018,1.00625,1.01910,0.99771,1.00608,2668219904
13/01/2018,1.00413,1.01256,0.99658,1.00202,2759879936
14/01/2018,1.00436,1.04031,1.00064,1.01612,2960410112
15/01/2018,1.01539,1.02400,1.00172,1.00662,2557179904
16/01/2018,1.00677,1.04645,0.99900,1.03415,5552929792
17/01/2018,1.03287,1.06989,0.99774,1.01453,5588839936
18/01/2018,1.01726,1.03990,1.00127,1.02311,4302300160
19/01/2018,1.02332,1.04222,1.00249,1.00454,2876989952
20/01/2018,1.00699,1.01350,0.99144,1.00111,2942779904
21/01/2018,1.00292,1.02661,0.99707,0.99986,3302010112
22/01/2018,1.00400,1.01931,0.99151,1.00504,3274899968
23/01/2018,1.00400,1.01953,0.98447,1.00505,3126830080
